rmse_cont,mae_cont,peak_err,tau_opt,acc_exact_pct,acc_tol1_pct,mae_disc,rmse_disc,f1_score,precision,recall,mape_cs_pct,mape_ua_pct,pbar_cs_pct,pbar_ua_pct,pbar_minf_pct,cv_cs_pct,cv_ua_pct,dataset,day,model
0.4835,0.4111,0.3956,0.32,72.09,100.0,0.2791,0.5283,0.6667,0.5714,0.8,14.6,16.54,100.0,20.93,100.0,4.56,5.58,day_3_p_1,3,EP Dual EKF
0.4831,0.3828,0.3517,0.66,70.59,100.0,0.2941,0.5423,0.0,0.0,0.0,1.56,1.43,100.0,100.0,100.0,0.91,1.02,day_3_p_2,3,EP Dual EKF
0.6339,0.5231,0.5472,0.1,65.38,100.0,0.3462,0.5883,0.7273,0.6667,0.8,14.9,15.31,100.0,23.08,100.0,3.52,3.86,day_3_p_3,3,EP Dual EKF
0.4724,0.3284,0.0151,0.1,82.61,100.0,0.1739,0.417,0.875,0.8235,0.9333,12.64,13.09,100.0,34.78,100.0,3.63,3.95,day_3_p_4,3,EP Dual EKF
0.5778,0.3979,0.7412,0.1,61.54,100.0,0.3846,0.6202,0.5,0.5,0.5,14.49,15.07,100.0,23.08,100.0,3.69,4.11,day_4_p_1,4,EP Dual EKF
0.7993,0.6627,0.9786,0.88,47.37,97.37,0.5526,0.778,0.5957,0.5185,0.7,15.64,16.89,100.0,15.79,100.0,2.88,3.46,day_4_p_2,4,EP Dual EKF
1.0777,0.9211,0.4926,0.72,28.89,88.89,0.8222,1.022,0.0,0.0,0.0,16.27,18.81,100.0,13.33,100.0,3.01,4.12,day_4_p_3,4,EP Dual EKF
0.6093,0.4493,0.7188,0.62,62.75,100.0,0.3725,0.6104,0.7308,0.7917,0.6786,15.77,18.08,100.0,11.76,100.0,2.69,3.54,day_4_p_4,4,EP Dual EKF
0.8669,0.5796,0.6573,0.28,61.54,88.46,0.5,0.8549,0.7308,0.8636,0.6333,14.88,17.2,100.0,23.08,100.0,4.34,5.7,day_4_p_5,4,EP Dual EKF
1.6575,1.2039,2.0069,0.24,60.0,60.0,1.0222,1.6465,0.625,1.0,0.4545,16.46,19.72,100.0,13.33,100.0,3.19,4.53,day_4_p_6,4,EP Dual EKF
