rmse_cont,mae_cont,peak_err,tau_opt,acc_exact_pct,acc_tol1_pct,mae_disc,rmse_disc,f1_score,precision,recall,mape_cs_pct,mape_ua_pct,pbar_cs_pct,pbar_ua_pct,pbar_minf_pct,cv_cs_pct,cv_ua_pct,dataset,day,model
0.6415,0.5401,0.0332,0.88,62.79,100.0,0.3721,0.61,0.0,0.0,0.0,19.54,12.81,100.0,100.0,100.0,2.52,4.68,day_3_p_1,3,EP Single EKF
0.4603,0.3681,0.3861,0.62,70.59,100.0,0.2941,0.5423,0.0,0.0,0.0,19.05,11.87,100.0,100.0,100.0,18.32,11.38,day_3_p_2,3,EP Single EKF
0.5956,0.5045,0.6545,0.18,84.62,100.0,0.1538,0.3922,0.8824,0.7895,1.0,18.23,13.13,100.0,100.0,100.0,17.6,11.18,day_3_p_3,3,EP Single EKF
0.4281,0.3302,0.0314,0.18,82.61,100.0,0.1739,0.417,0.875,0.8235,0.9333,16.28,12.91,100.0,100.0,100.0,13.87,9.11,day_3_p_4,3,EP Single EKF
0.5682,0.4323,0.5129,0.22,65.38,100.0,0.3462,0.5883,0.5714,0.5455,0.6,13.51,12.91,100.0,100.0,100.0,4.49,9.52,day_4_p_1,4,EP Single EKF
0.433,0.3662,0.3358,0.26,86.84,100.0,0.1316,0.3627,0.8889,0.8,1.0,11.94,12.88,100.0,100.0,100.0,13.69,7.26,day_4_p_2,4,EP Single EKF
0.7739,0.6142,1.3172,0.1,53.33,100.0,0.4667,0.6831,0.7419,0.6216,0.92,10.04,13.04,100.0,100.0,100.0,6.34,13.15,day_4_p_3,4,EP Single EKF
0.6572,0.4955,0.589,0.52,72.55,100.0,0.2745,0.5239,0.8235,0.913,0.75,15.61,12.78,100.0,100.0,100.0,7.13,8.94,day_4_p_4,4,EP Single EKF
0.9767,0.7522,1.3252,0.44,53.85,96.15,0.5,0.7596,0.8,0.88,0.7333,19.29,12.86,100.0,100.0,100.0,3.44,4.48,day_4_p_5,4,EP Single EKF
1.4795,1.1434,2.1556,0.1,48.89,73.33,0.8222,1.2383,0.8475,0.9615,0.7576,17.88,12.85,100.0,100.0,100.0,10.88,0.0,day_4_p_6,4,EP Single EKF
