minute,mass_flow_kg_s,supply_t
0,0.062431249999999994,26.3
1,0.062431249999999994,23.7
2,0.062431249999999994,22.2
3,0.062431249999999994,20.789156626506024
4,0.062431249999999994,20.3
5,0.062431249999999994,19.6
6,0.062431249999999994,19.3
7,0.062431249999999994,19.0
8,0.062431249999999994,18.771084337349397
9,0.062431249999999994,18.467469879518074
10,0.062431249999999994,18.3
11,0.062431249999999994,18.1
12,0.062431249999999994,18.0
13,0.062431249999999994,18.0
14,0.062431249999999994,18.0
15,0.062431249999999994,17.6
16,0.062431249999999994,17.5
17,0.062431249999999994,17.4
18,0.062431249999999994,17.4
19,0.062431249999999994,17.43132530120482
20,0.062431249999999994,17.4
21,0.062431249999999994,17.3
22,0.062431249999999994,17.3
23,0.062431249999999994,17.2
24,0.062431249999999994,17.1
25,0.062431249999999994,17.0
26,0.062431249999999994,17.0
27,0.062431249999999994,16.9
28,0.062431249999999994,17.0
29,0.062431249999999994,16.9
30,0.062431249999999994,16.8
31,0.062431249999999994,16.7
32,0.062431249999999994,16.7
33,0.062431249999999994,16.7
34,0.062431249999999994,16.722891566265062
35,0.062431249999999994,16.7
36,0.062431249999999994,16.7
37,0.062431249999999994,16.7
38,0.062431249999999994,16.8
39,0.062431249999999994,18.7
40,0.062431249999999994,17.2
41,0.062431249999999994,16.9
42,0.062431249999999994,16.8
43,0.062431249999999994,16.8
44,0.062431249999999994,16.7
45,0.062431249999999994,16.637349397590363
46,0.062431249999999994,16.7
47,0.062431249999999994,16.8
48,0.062431249999999994,16.7
49,0.062431249999999994,16.7
50,0.062431249999999994,16.7
51,0.062431249999999994,16.7
52,0.062431249999999994,16.7
53,0.062431249999999994,16.7
54,0.062431249999999994,16.7
55,0.062431249999999994,16.7
56,0.062431249999999994,16.7
57,0.062431249999999994,16.7
58,0.062431249999999994,16.8
59,0.062431249999999994,16.979518072289128
60,0.062431249999999994,17.38313253012048
61,0.062431249999999994,17.279518072289157
62,0.062431249999999994,17.1
63,0.062431249999999994,17.0
64,0.062431249999999994,17.0
65,0.062431249999999994,17.0
66,0.062431249999999994,16.9
67,0.062431249999999994,16.9
68,0.062431249999999994,16.9
69,0.062431249999999994,16.8
70,0.062431249999999994,16.84698795180723
71,0.062431249999999994,16.8
72,0.062431249999999994,16.8
73,0.062431249999999994,16.7
74,0.062431249999999994,16.8
75,0.062431249999999994,16.8
76,0.062431249999999994,16.8
77,0.062431249999999994,16.8
78,0.062431249999999994,16.8
79,0.062431249999999994,16.7
80,0.062431249999999994,16.7
81,0.062431249999999994,16.7
82,0.062431249999999994,16.6
83,0.062431249999999994,16.6
