Dataset name,start_min,end_min,total occupancy inside chamber
day_4_p_1,0.0,4.45,0
day_4_p_1,4.45,14.45,1
day_4_p_1,14.45,24.5,0
day_4_p_2,0.0,4.71,0
day_4_p_2,4.71,14.71,1
day_4_p_2,14.71,24.71,1
day_4_p_2,24.71,37.58,0
day_4_p_3,0.0,6.72,0
day_4_p_3,6.72,16.72,1
day_4_p_3,16.72,21.72,2
day_4_p_3,21.72,31.72,1
day_4_p_3,31.72,44.5,0
day_4_p_4,0.0,5.05,0
day_4_p_4,5.05,18.05,1
day_4_p_4,18.05,23.05,2
day_4_p_4,23.05,33.05,1
day_4_p_4,33.05,49.92,0
day_4_p_5,0.0,14.42,0
day_4_p_5,14.42,19.42,1
day_4_p_5,19.42,34.42,2
day_4_p_5,34.42,44.42,1
day_4_p_5,44.42,51.33,0
day_4_p_6,0.0,5.06,0
day_4_p_6,5.06,15.06,3
day_4_p_6,15.06,30.06,1
day_4_p_6,30.06,35.06,0
day_4_p_6,35.06,43.92,2
day_4_p_6,43.92,43.92,1
day_4_p_6,43.92,43.92,0
