timestamp,outside_t,outside_h,outside_c,outside_p,outside_a,outside_v,room_1_t,room_1_h,room_1_c,room_1_p,room_1_a,room_1_v,room_2_t,room_2_h,room_2_c,room_2_p,room_2_a,room_2_v,room_3_t,room_3_h,room_3_c,room_3_p,room_3_a,room_3_v,supply_t,supply_h,supply_c,supply_p,supply_a,supply_v,return_t,return_h,return_c,return_p,return_a,return_v,mixed_t,mixed_h,mixed_c,mixed_p,mixed_a,mixed_v,cooler_t,cooler_h,cooler_c,cooler_p,cooler_a,cooler_v,heated_t,heated_h,heated_c,heated_p,heated_a,heated_v,mixer,fan,flowrate,coolerState,heaterState,humidifierState
2026-07-23T06:39:16.738Z,32.7,59.7,554,0,2,103,27,77.6,0,956,0,0,28.6,79.3,412,0,1,29,27.6,83.4,65535,0,1,65417,29.5,79.5,437,0,1,41,29.3,75,432,0,1,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-23T06:39:21.736Z,32.7,59.4,566,0,2,110,27,77.2,0,956,0,0,28.8,79.1,458,0,1,51,27.6,83.8,400,0,1,19,29.6,79,432,0,1,38,29.4,74.8,425,0,1,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-23T06:39:26.735Z,32.7,59.7,563,0,2,108,27,77.1,0,956,0,0,28.9,78.9,455,0,1,49,27.6,83.8,400,0,1,19,29.8,78.6,416,0,1,31,29.5,74.4,419,0,1,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-23T06:39:31.735Z,32.7,59.6,536,0,2,92,27,77,0,956,0,0,29,78.7,449,0,1,46,27.6,83.8,400,0,1,19,29.9,78.2,427,0,1,36,29.6,74.2,413,0,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-23T06:39:36.735Z,32.7,59.7,554,0,2,103,27,76.9,0,955.9,0,0,29,78.7,441,0,1,43,27.6,83.8,400,0,1,19,29.9,78.2,411,0,1,28,29.6,74.2,449,0,1,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-23T06:39:41.735Z,32.8,59.8,547,0,2,99,27,76.9,0,956,0,0,29.2,78.2,460,0,1,52,27.5,83.9,400,0,1,19,29.9,77.8,416,0,1,31,29.7,73.9,440,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-23T06:39:46.735Z,32.8,59.7,564,0,2,109,27,76.9,0,956,0,0,29.2,78.2,491,0,2,67,27.5,83.9,400,0,1,19,30,77.4,406,0,1,27,29.8,73.7,416,0,1,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-23T06:39:51.741Z,32.8,59.9,616,0,2,143,27,76.8,0,955.9,0,0,29.3,77.9,544,0,2,97,27.5,83.8,65352,0,1,19,30.1,77,430,0,1,37,29.8,73.5,438,0,1,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-23T06:39:56.734Z,32.8,59.9,614,0,2,141,27,76.8,0,956,0,0,29.4,77.5,565,0,2,109,27.5,83.9,400,0,1,19,30.2,76.7,421,0,1,33,29.9,73.4,455,0,1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-23T06:40:01.735Z,32.7,60.5,630,0,2,152,27,76.8,0,956,0,0,29.4,77.2,498,0,2,71,27.5,84,400,0,1,19,30.3,76.5,424,0,1,34,30,73.3,450,0,1,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-23T06:40:06.735Z,32.8,60.7,649,0,2,166,27,76.8,0,956,0,0,29.5,76.8,508,0,2,76,27.5,84,400,0,1,19,30.3,76.5,425,0,1,35,30,73.3,432,0,1,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
