minute,mass_flow_kg_s,supply_t
0,0.0,20.9371
1,0.0,20.9371
2,0.0,20.9371
3,0.0,20.9371
4,0.0,20.9371
5,0.0,20.9371
6,0.0,20.9371
7,0.0,20.9371
8,0.0,20.9371
9,0.0,20.9371
10,0.0,20.9371
11,0.0,20.9371
12,0.0,20.9371
13,0.0,20.9371
14,0.0,20.9371
15,0.07025624999999999,25.136
16,0.07025624999999999,18.558
17,0.07025624999999999,17.399
18,0.07025624999999999,17.087
19,0.07025624999999999,16.807
20,0.07025624999999999,16.6694358974359
21,0.0,16.70892307692307
22,0.07221249999999999,16.790820512820513
23,0.07221249999999999,17.14817948717949
24,0.07221249999999999,17.318307692307695
25,0.07221249999999999,16.8494358974359
26,0.07221249999999999,16.712333333333333
27,0.07221249999999999,16.658
28,0.07221249999999999,16.67871794871795
29,0.07221249999999999,16.613153846153846
30,0.07221249999999999,16.591
31,0.07221249999999999,16.691
32,0.07221249999999999,16.691
33,0.07221249999999999,16.691
34,0.07221249999999999,16.691
35,0.0,18.47853846153846
36,0.0,20.597461538461538
37,0.07221249999999999,17.72620512820513
38,0.07221249999999999,16.92
39,0.07221249999999999,16.92
