Date/Time,Electricity:Facility [J](Hourly) 
 07/21  01:00:00,49104000.0 
 07/21  02:00:00,49104000.0 
 07/21  03:00:00,49104000.0 
 07/21  04:00:00,49104000.0 
 07/21  05:00:00,49104000.0 
 07/21  06:00:00,49104000.0 
 07/21  07:00:00,49104000.0 
 07/21  08:00:00,49104000.0 
 07/21  09:00:00,88387200.0 
 07/21  10:00:00,88387200.0 
 07/21  11:00:00,88387200.0 
 07/21  12:00:00,88387200.0 
 07/21  13:00:00,88387200.0 
 07/21  14:00:00,88387200.0 
 07/21  15:00:00,88387200.0 
 07/21  16:00:00,88387200.0 
 07/21  17:00:00,88387200.0 
 07/21  18:00:00,88387200.0 
 07/21  19:00:00,49104000.0 
 07/21  20:00:00,49104000.0 
 07/21  21:00:00,49104000.0 
 07/21  22:00:00,49104000.0 
 07/21  23:00:00,49104000.0 
 07/21  24:00:00,49104000.0 
 07/21  01:00:00,49104000.0 
 07/21  02:00:00,49104000.0 
 07/21  03:00:00,49104000.0 
 07/21  04:00:00,49104000.0 
 07/21  05:00:00,49104000.0 
 07/21  06:00:00,49104000.0 
 07/21  07:00:00,49104000.0 
 07/21  08:00:00,49104000.0 
 07/21  09:00:00,49104000.0 
 07/21  10:00:00,49104000.0 
 07/21  11:00:00,49104000.0 
 07/21  12:00:00,49104000.0 
 07/21  13:00:00,49104000.0 
 07/21  14:00:00,49104000.0 
 07/21  15:00:00,49104000.0 
 07/21  16:00:00,49104000.0 
 07/21  17:00:00,49104000.0 
 07/21  18:00:00,49104000.0 
 07/21  19:00:00,49104000.0 
 07/21  20:00:00,49104000.0 
 07/21  21:00:00,49104000.0 
 07/21  22:00:00,49104000.0 
 07/21  23:00:00,49104000.0 
 07/21  24:00:00,49104000.0 
