timestamp,outside_t,outside_h,outside_c,outside_p,outside_a,outside_v,room_1_t,room_1_h,room_1_c,room_1_p,room_1_a,room_1_v,room_2_t,room_2_h,room_2_c,room_2_p,room_2_a,room_2_v,room_3_t,room_3_h,room_3_c,room_3_p,room_3_a,room_3_v,supply_t,supply_h,supply_c,supply_p,supply_a,supply_v,return_t,return_h,return_c,return_p,return_a,return_v,mixed_t,mixed_h,mixed_c,mixed_p,mixed_a,mixed_v,cooler_t,cooler_h,cooler_c,cooler_p,cooler_a,cooler_v,heated_t,heated_h,heated_c,heated_p,heated_a,heated_v,mixer,fan,flowrate,coolerState,heaterState,humidifierState,Tz_weighted,ts,source,supply_t_original,timestamp_synth,timestamp_orig
1997-01-01T00:00:00Z,32.295,62.585,460,0,1,52,28.013,71.312,0,955.803,0,0,32.079,67.319,484,0,1,64,31.582,70.836,514,0,2,80,32.05,69.511,498,0,2,71,31.861,66.112,462,0,1,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.946600000000004,2026-07-21 07:43:58.340000+00:00,Idle[1],,1997-01-01 00:00:00+00:00,2026-07-21T07:43:58.340Z
1997-01-01T00:00:05Z,32.325,62.549,467,0,1,55,28.013,71.294,0,955.775,0,0,32.055,67.323,458,0,1,50,31.577,70.768,533,0,2,90,32.05,69.511,488,0,2,66,31.861,66.112,451,0,1,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.9384,2026-07-21 07:44:03.380000+00:00,Idle[1],,1997-01-01 00:00:05+00:00,2026-07-21T07:44:03.380Z
1997-01-01T00:00:10Z,32.313,62.601,444,0,1,44,28.013,71.294,0,955.775,0,0,32.055,67.323,465,0,1,54,31.577,70.768,458,0,1,50,32.047,69.484,473,0,1,58,31.866,66.176,455,0,1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.9384,2026-07-21 07:44:08.345000+00:00,Idle[1],,1997-01-01 00:00:10+00:00,2026-07-21T07:44:08.345Z
1997-01-01T00:00:15Z,32.361,62.556,400,0,1,23,28.013,71.3,0,955.775,0,0,32.049,67.31,452,0,1,48,31.6,70.653,519,0,2,82,32.025,69.45,474,0,1,59,31.872,66.22,470,0,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.941200000000002,2026-07-21 07:44:13.344000+00:00,Idle[1],,1997-01-01 00:00:15+00:00,2026-07-21T07:44:13.344Z
1997-01-01T00:00:20Z,32.373,62.546,410,0,1,28,28.018,71.289,0,955.867,0,0,32.082,67.257,461,0,1,52,31.603,70.647,524,0,2,85,32.043,69.426,469,0,1,56,31.879,66.22,457,0,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.9542,2026-07-21 07:44:18.343000+00:00,Idle[1],,1997-01-01 00:00:20+00:00,2026-07-21T07:44:18.343Z
1997-01-01T00:00:25Z,32.382,62.278,424,0,1,34,28.018,71.266,0,955.811,0,0,32.059,67.271,457,0,1,50,31.592,70.62,512,0,2,79,32.026,69.407,476,0,1,59,31.866,66.305,446,0,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.9451,2026-07-21 07:44:23.354000+00:00,Idle[1],,1997-01-01 00:00:25+00:00,2026-07-21T07:44:23.354Z
1997-01-01T00:00:30Z,32.396,62.404,438,0,1,41,28.023,71.266,0,955.763,0,0,32.068,67.302,471,0,1,57,31.592,70.62,513,0,2,79,32.032,69.431,471,0,1,57,31.879,66.249,475,0,1,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.9503,2026-07-21 07:44:28.346000+00:00,Idle[1],,1997-01-01 00:00:30+00:00,2026-07-21T07:44:28.346Z
1997-01-01T00:00:35Z,32.412,62.325,442,0,1,43,28.023,71.237,0,955.819,0,0,32.074,67.271,482,0,1,63,31.601,70.553,522,0,2,84,32.04,69.462,472,0,1,57,31.885,66.325,463,0,1,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.953899999999997,2026-07-21 07:44:33.339000+00:00,Idle[1],,1997-01-01 00:00:35+00:00,2026-07-21T07:44:33.339Z
1997-01-01T00:00:40Z,32.412,62.219,441,0,1,42,28.018,71.196,0,955.811,0,0,32.076,67.242,472,0,1,58,31.617,70.51,501,0,2,72,32.028,69.473,474,0,1,58,31.873,66.296,476,0,1,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.955199999999998,2026-07-21 07:44:38.344000+00:00,Idle[1],,1997-01-01 00:00:40+00:00,2026-07-21T07:44:38.344Z
1997-01-01T00:00:45Z,32.424,62.205,445,0,1,44,28.018,71.167,0,955.867,0,0,32.072,67.156,455,0,1,49,31.612,70.448,518,0,2,82,32.036,69.504,459,0,1,51,31.861,66.295,447,0,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.953000000000003,2026-07-21 07:44:43.344000+00:00,Idle[1],,1997-01-01 00:00:45+00:00,2026-07-21T07:44:43.344Z
1997-01-01T00:00:50Z,32.409,62.152,471,0,1,57,28.018,71.127,0,955.783,0,0,32.065,67.065,456,0,1,50,31.614,70.406,528,0,2,88,32.033,69.453,473,0,1,58,31.877,66.15,447,0,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.9513,2026-07-21 07:44:48.340000+00:00,Idle[1],,1997-01-01 00:00:50+00:00,2026-07-21T07:44:48.340Z
