timestamp,outside_t,outside_h,outside_c,outside_p,outside_a,outside_v,room_1_t,room_1_h,room_1_c,room_1_p,room_1_a,room_1_v,room_2_t,room_2_h,room_2_c,room_2_p,room_2_a,room_2_v,room_3_t,room_3_h,room_3_c,room_3_p,room_3_a,room_3_v,supply_t,supply_h,supply_c,supply_p,supply_a,supply_v,return_t,return_h,return_c,return_p,return_a,return_v,mixed_t,mixed_h,mixed_c,mixed_p,mixed_a,mixed_v,cooler_t,cooler_h,cooler_c,cooler_p,cooler_a,cooler_v,heated_t,heated_h,heated_c,heated_p,heated_a,heated_v,mixer,fan,flowrate,coolerState,heaterState,humidifierState,Tz_weighted,RHz_weighted,CO2z_weighted
2026-07-23T06:39:16.738Z,32.7,59.7,554.0,0,2,103,27.0,77.6,,956.0,0,0,28.6,79.3,412.0,0,1,29,27.6,83.4,400.0,0,1,65417,29.5,79.5,437.0,0,1,41,29.3,75.0,432.0,0,1,38,,0.0,,0,0,0,,0.0,,0,0,0,,0.0,,0,0,0,0,0,0,0,0,0,27.6,79.27,407.2
2026-07-23T06:39:21.736Z,32.7,59.67,555.2,0,2,110,27.0,77.56,,956.0,0,0,28.62,79.28,416.6,0,1,51,27.6,83.44,400.0,0,1,19,29.51,79.45,436.5,0,1,38,29.31,74.98,431.3,0,1,35,,0.0,,0,0,0,,0.0,,0,0,0,,0.0,,0,0,0,0,0,0,0,0,0,27.61,79.25,409.96
2026-07-23T06:39:26.735Z,32.7,59.67,555.98,0,2,108,27.0,77.51,,956.0,0,0,28.65,79.24,420.44,0,1,49,27.6,83.48,400.0,0,1,19,29.54,79.37,434.45,0,1,31,29.33,74.92,430.07,0,1,32,,0.0,,0,0,0,,0.0,,0,0,0,,0.0,,0,0,0,0,0,0,0,0,0,27.62,79.22,412.26
2026-07-23T06:39:31.735Z,32.7,59.67,553.98,0,2,92,27.0,77.46,,956.0,0,0,28.68,79.19,423.3,0,1,46,27.6,83.51,400.0,0,1,19,29.58,79.25,433.71,0,1,36,29.36,74.85,428.36,0,1,29,,0.0,,0,0,0,,0.0,,0,0,0,,0.0,,0,0,0,0,0,0,0,0,0,27.62,79.19,413.98
2026-07-23T06:39:36.735Z,32.7,59.67,553.98,0,2,103,27.0,77.41,,955.9,0,0,28.71,79.14,425.07,0,1,43,27.6,83.54,400.0,0,1,19,29.61,79.14,431.43,0,1,28,29.38,74.78,430.43,0,1,46,,0.0,,0,0,0,,0.0,,0,0,0,,0.0,,0,0,0,0,0,0,0,0,0,27.63,79.16,415.04
2026-07-23T06:39:41.735Z,32.71,59.68,553.29,0,2,99,27.0,77.36,,956.0,0,0,28.76,79.05,428.56,0,1,52,27.59,83.57,400.0,0,1,19,29.64,79.01,429.89,0,1,31,29.41,74.7,431.38,0,1,42,,0.0,,0,0,0,,0.0,,0,0,0,,0.0,,0,0,0,0,0,0,0,0,0,27.65,79.11,417.14
2026-07-23T06:39:46.735Z,32.72,59.68,554.36,0,2,109,27.0,77.31,,956.0,0,0,28.81,78.96,434.8,0,2,67,27.58,83.61,400.0,0,1,19,29.67,78.85,427.5,0,1,27,29.45,74.6,429.85,0,1,31,,0.0,,0,0,0,,0.0,,0,0,0,,0.0,,0,0,0,0,0,0,0,0,0,27.66,79.06,420.88
2026-07-23T06:39:51.741Z,32.73,59.71,560.52,0,2,143,27.0,77.26,,955.9,0,0,28.86,78.85,445.72,0,2,97,27.57,83.63,400.0,0,1,19,29.72,78.66,427.75,0,1,37,29.49,74.49,430.66,0,1,41,,0.0,,0,0,0,,0.0,,0,0,0,,0.0,,0,0,0,0,0,0,0,0,0,27.67,79.01,427.43
2026-07-23T06:39:56.734Z,32.73,59.73,565.87,0,2,141,27.0,77.21,,956.0,0,0,28.91,78.72,457.65,0,2,109,27.57,83.65,400.0,0,1,19,29.76,78.47,427.08,0,1,33,29.53,74.38,433.09,0,1,49,,0.0,,0,0,0,,0.0,,0,0,0,,0.0,,0,0,0,0,0,0,0,0,0,27.69,78.95,434.59
2026-07-23T06:40:01.735Z,32.73,59.8,572.28,0,2,152,27.0,77.17,,956.0,0,0,28.96,78.57,461.69,0,2,71,27.56,83.69,400.0,0,1,19,29.82,78.27,426.77,0,1,34,29.57,74.27,434.79,0,1,47,,0.0,,0,0,0,,0.0,,0,0,0,,0.0,,0,0,0,0,0,0,0,0,0,27.7,78.89,437.01
