Dataset name ,time 1 ,time 2,total occupancy inside chamber
Day 4 Test 1_2026-07-31.csv,9:00,9:05,0
Day 4 Test 1_2026-07-31.csv,9:05,9:15,1
Day 4 Test 1_2026-07-31.csv,9:15,9:25,0
Day 4 Test 2_2026-07-31.csv,9:25,9:30,0
Day 4 Test 2_2026-07-31.csv,9:30,9:40,1
Day 4 Test 2_2026-07-31.csv,9:40,9:50,2
Day 4 Test 2_2026-07-31.csv,9:50,10:02,1
Day 4 Test 3 Take 1_2026-07-31.csv,11:20,11:27,0
Day 4 Test 3 Take 1_2026-07-31.csv,11:27,11:37,1
Day 4 Test 3 Take 1_2026-07-31.csv,11:37,11:42,2
Day 4 Test 3 Take 1_2026-07-31.csv,11:42,11:52,1
Day 4 Test 3 Take 1_2026-07-31.csv,11:52,12:04,0
Day 4 Test 3 Take 2_2026-07-31.csv,12:07,12:13,0
Day 4 Test 3 Take 2_2026-07-31.csv,12:13,12:26,1
Day 4 Test 3 Take 2_2026-07-31.csv,12:26,12:31,2
Day 4 Test 3 Take 2_2026-07-31.csv,12:31,12:41,1
Day 4 Test 3 Take 2_2026-07-31.csv,12:41,12:57,0
Day 4 Test 4_2026-07-31.csv,14:20,14:35,0
Day 4 Test 4_2026-07-31.csv,14:35,14:40,1
Day 4 Test 4_2026-07-31.csv,14:40,14:55,2
Day 4 Test 4_2026-07-31.csv,14:55,15:05,1
Day 4 Test 4_2026-07-31.csv,15:05,15:11,0
Day 4 Test 5_2026-07-31.csv,15:19,15:25,0
Day 4 Test 5_2026-07-31.csv,15:25,15:35,3
Day 4 Test 5_2026-07-31.csv,15:35,15:50,1
Day 4 Test 5_2026-07-31.csv,15:50,15:55,0
Day 4 Test 5_2026-07-31.csv,15:55,16:03,2
