Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),CHAMBER_THERMALZONE:Zone Mean Air Temperature [C](Hourly),HANGER_THERMALZONE:Zone Mean Air Temperature [C](Hourly),CHAMBER_THERMALZONE:Zone Air Temperature [C](Hourly),CHAMBER_THERMALZONE:Zone Air System Sensible Heating Energy [J](Hourly),CHAMBER_THERMALZONE:Zone Air System Sensible Cooling Energy [J](Hourly),HANGER_THERMALZONE:Zone Air Temperature [C](Hourly),HANGER_THERMALZONE:Zone Air System Sensible Heating Energy [J](Hourly),HANGER_THERMALZONE:Zone Air System Sensible Cooling Energy [J](Hourly),NODE 6:System Node Mass Flow Rate [kg/s](Hourly),NODE 5:System Node Mass Flow Rate [kg/s](Hourly),NODE 4:System Node Mass Flow Rate [kg/s](Hourly),NODE 3:System Node Mass Flow Rate [kg/s](Hourly),NODE 2:System Node Mass Flow Rate [kg/s](Hourly),CHAMBER_SPLITAC COOLING COIL OUTLET NODE:System Node Mass Flow Rate [kg/s](Hourly),CHAMBER_SPLITAC HEATING COIL OUTLET NODE:System Node Mass Flow Rate [kg/s](Hourly),CHAMBER_SPLITAC MIXED AIR NODE:System Node Mass Flow Rate [kg/s](Hourly),CHAMBER_SPLITAC OA NODE:System Node Mass Flow Rate [kg/s](Hourly),CHAMBER_SPLITAC RELIEF AIR NODE:System Node Mass Flow Rate [kg/s](Hourly),NODE 1:System Node Mass Flow Rate [kg/s](Hourly),MODEL OUTDOOR AIR NODE:System Node Mass Flow Rate [kg/s](Hourly),HANGER_IDEALLOADS OUTDOOR AIR INLET NODE:System Node Mass Flow Rate [kg/s](Hourly),CHAMBER_THERMALZONE:Zone Mechanical Ventilation Mass Flow Rate [kg/s](Hourly),HANGER_THERMALZONE:Zone Mechanical Ventilation Mass Flow Rate [kg/s](Hourly),Electricity:Facility [J](Hourly) 
 07/21  01:00:00,33.791666666666664,28.000025105306197,28.0,28.000025105306197,0.0,221638.0713914846,28.0,0.0,142206596.79536918,0.005010349267230798,0.005010349267230798,2.5354475607472087,2.5354475607472087,0.005010349267230798,0.005010349267230798,0.005010349267230798,0.005010349267230798,0.0,0.0,2.5354475607472087,0.0,0.0,0.0,0.0,49208192.781865925 
 07/21  02:00:00,33.61666666666667,28.000024965641654,28.0,28.000024965641654,0.0,206373.04463274515,28.0,0.0,132709530.13233015,0.004667744324244042,0.004667744324244042,2.366612868125995,2.366612868125995,0.004667744324244042,0.004667744324244042,0.004667744324244042,0.004667744324244042,0.0,0.0,2.366612868125995,0.0,0.0,0.0,0.0,49201073.91527083 
 07/21  03:00:00,33.699999999999996,28.00002507141458,28.0,28.00002507141458,0.0,195591.22955598385,28.0,0.0,128347482.31296068,0.004435273656439324,0.004435273656439324,2.289089891452959,2.289089891452959,0.004435273656439324,0.004435273656439324,0.004435273656439324,0.004435273656439324,0.0,0.0,2.289089891452959,0.0,0.0,0.0,0.0,49196464.69673778 
 07/21  04:00:00,33.699999999999996,28.000025504400764,28.0,28.000025504400764,0.0,189227.34840103931,28.0,0.0,124685770.10262972,0.004320299190586315,0.004320299190586315,2.222187596225258,2.222187596225258,0.004320299190586315,0.004320299190586315,0.004320299190586315,0.004320299190586315,0.0,0.0,2.222187596225258,0.0,0.0,0.0,0.0,49194269.12413535 
 07/21  05:00:00,33.75833333333333,28.0000262251146,28.0,28.0000262251146,0.0,183732.79371553735,28.0,0.0,121840659.03679624,0.004219203355964424,0.004219203355964424,2.170202180258055,2.170202180258055,0.004219203355964424,0.004219203355964424,0.004219203355964424,0.004219203355964424,0.0,0.0,2.170202180258055,0.0,0.0,0.0,0.0,49192365.63613543 
 07/21  06:00:00,33.800000000000004,28.000026453698442,28.0,28.000026453698442,0.0,178527.01433028566,28.0,0.0,119495894.90607488,0.004118951505048541,0.004118951505048541,2.1275992298611652,2.1275992298611652,0.004118951505048541,0.004118951505048541,0.004118951505048541,0.004118951505048541,0.0,0.0,2.1275992298611652,0.0,0.0,0.0,0.0,49190428.90558008 
 07/21  07:00:00,33.74166666666667,28.000026433502075,28.0,28.000026433502075,0.0,174846.6180706465,28.0,0.0,117200459.359671,0.004046733739613235,0.004046733739613235,2.0861954067785957,2.0861954067785957,0.004046733739613235,0.004046733739613235,0.004046733739613235,0.004046733739613235,0.0,0.0,2.0861954067785957,0.0,0.0,0.0,0.0,49188961.64647689 
 07/21  08:00:00,33.75833333333333,28.000026688896728,28.0,28.000026688896728,0.0,180289.81666890607,28.0,0.0,126165026.47477885,0.004174671217738987,0.004174671217738987,2.2460554046041037,2.2460554046041037,0.004174671217738987,0.004174671217738987,0.004174671217738987,0.004174671217738987,0.0,0.0,2.2460554046041037,0.0,0.0,0.0,0.0,49191629.17925267 
 07/21  09:00:00,33.800000000000004,24.113777768615407,23.903469723606108,24.113777768615407,0.0,959856.5862768693,23.903469723606108,0.0,479755428.50831133,0.02509375721870297,0.02509375721870297,11.496029577673895,11.496029577673895,0.02509375721870297,0.02509375721870297,0.02509375721870297,0.02509375721870297,0.0,0.0,11.496029577673895,0.0,0.0,0.0,0.0,88835922.06728292 
 07/21  10:00:00,33.800000000000004,24.00000973638154,23.99999999997857,24.00000973638154,0.0,906654.3641150643,23.99999999997857,0.0,422242056.35577935,0.02201535471821703,0.02201535471821703,10.363388850699536,10.363388850699536,0.02201535471821703,0.02201535471821703,0.02201535471821703,0.02201535471821703,0.0,0.0,10.363388850699536,0.0,0.0,0.0,0.0,88780116.66811863 
