Time,CHAMBER_THERMALZONE:CHICAGO_IL_USA HEATING 99.6% CONDITIONS:Des Heat Load [W],CHAMBER_THERMALZONE:CHICAGO_IL_USA COOLING .4% CONDITIONS DB=>MWB:Des Sens Cool Load [W],CHAMBER_THERMALZONE:CHICAGO_IL_USA HEATING 99.6% CONDITIONS:Des Heat Mass Flow [kg/s],CHAMBER_THERMALZONE:CHICAGO_IL_USA COOLING .4% CONDITIONS DB=>MWB:Des Cool Mass Flow [kg/s],CHAMBER_THERMALZONE::Des Latent Heat Load [W],CHAMBER_THERMALZONE::Des Latent Cool Load [W],CHAMBER_THERMALZONE::Des Latent Heat Mass Flow [kg/s],CHAMBER_THERMALZONE::Des Latent Cool Mass Flow [kg/s],CHAMBER_THERMALZONE::Des Heat Load No DOAS [W],CHAMBER_THERMALZONE::Des Sens Cool Load No DOAS [W],CHAMBER_THERMALZONE::Des Latent Heat Load No DOAS [W],CHAMBER_THERMALZONE::Des Latent Cool Load No DOAS [W],CHAMBER_THERMALZONE:CHICAGO_IL_USA HEATING 99.6% CONDITIONS:Heating Zone Temperature [C],CHAMBER_THERMALZONE:CHICAGO_IL_USA HEATING 99.6% CONDITIONS:Heating Zone Relative Humidity [%],CHAMBER_THERMALZONE:CHICAGO_IL_USA COOLING .4% CONDITIONS DB=>MWB:Cooling Zone Temperature [C],CHAMBER_THERMALZONE:CHICAGO_IL_USA COOLING .4% CONDITIONS DB=>MWB:Cooling Zone Relative Humidity [%],HANGER_THERMALZONE:CHICAGO_IL_USA HEATING 99.6% CONDITIONS:Des Heat Load [W],HANGER_THERMALZONE:CHICAGO_IL_USA COOLING .4% CONDITIONS DB=>MWB:Des Sens Cool Load [W],HANGER_THERMALZONE:CHICAGO_IL_USA HEATING 99.6% CONDITIONS:Des Heat Mass Flow [kg/s],HANGER_THERMALZONE:CHICAGO_IL_USA COOLING .4% CONDITIONS DB=>MWB:Des Cool Mass Flow [kg/s],HANGER_THERMALZONE::Des Latent Heat Load [W],HANGER_THERMALZONE::Des Latent Cool Load [W],HANGER_THERMALZONE::Des Latent Heat Mass Flow [kg/s],HANGER_THERMALZONE::Des Latent Cool Mass Flow [kg/s],HANGER_THERMALZONE::Des Heat Load No DOAS [W],HANGER_THERMALZONE::Des Sens Cool Load No DOAS [W],HANGER_THERMALZONE::Des Latent Heat Load No DOAS [W],HANGER_THERMALZONE::Des Latent Cool Load No DOAS [W],HANGER_THERMALZONE:CHICAGO_IL_USA HEATING 99.6% CONDITIONS:Heating Zone Temperature [C],HANGER_THERMALZONE:CHICAGO_IL_USA HEATING 99.6% CONDITIONS:Heating Zone Relative Humidity [%],HANGER_THERMALZONE:CHICAGO_IL_USA COOLING .4% CONDITIONS DB=>MWB:Cooling Zone Temperature [C],HANGER_THERMALZONE:CHICAGO_IL_USA COOLING .4% CONDITIONS DB=>MWB:Cooling Zone Relative Humidity [%]
00:10:00,0.000000E+00,8.217920E+01,0.000000E+00,1.007428E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,-1.039304E+01,8.037945E+01,2.107539E+01,5.146777E+01,8.892875E+05,1.211966E+05,2.176968E+01,1.487545E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,9.939826E+00,5.361850E+01,2.096263E+01,7.693531E+01
00:20:00,0.000000E+00,6.454041E+01,0.000000E+00,7.911960E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,-1.042450E+01,7.984929E+01,2.213880E+01,4.858822E+01,8.892949E+05,9.556054E+04,2.176986E+01,1.172881E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,9.939825E+00,5.361870E+01,2.216198E+01,7.572362E+01
00:30:00,0.000000E+00,4.753816E+01,0.000000E+00,5.827668E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,-1.045544E+01,7.932509E+01,2.253319E+01,4.771259E+01,8.893021E+05,7.063201E+04,2.177003E+01,8.669085E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,9.939825E+00,5.361888E+01,2.276556E+01,7.544903E+01
00:40:00,0.000000E+00,3.113621E+01,0.000000E+00,3.816965E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,-1.048587E+01,7.880683E+01,2.275037E+01,4.740002E+01,8.893089E+05,4.640164E+04,2.177020E+01,5.695097E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,9.939824E+00,5.361906E+01,2.323286E+01,7.548222E+01
00:50:00,0.000000E+00,1.530069E+01,0.000000E+00,1.875701E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,-1.051580E+01,7.829451E+01,2.287999E+01,4.744071E+01,8.893154E+05,2.286046E+04,2.177036E+01,2.805750E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,9.939823E+00,5.361923E+01,2.362642E+01,7.580067E+01
01:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,-1.054525E+01,7.778810E+01,2.292087E+01,4.768652E+01,8.893217E+05,0.000000E+00,2.177051E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,9.939823E+00,5.361940E+01,2.376913E+01,7.628323E+01
01:10:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,-1.057422E+01,7.728760E+01,2.297278E+01,4.810559E+01,8.893277E+05,0.000000E+00,2.177066E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,9.939822E+00,5.361955E+01,2.388151E+01,7.703856E+01
01:20:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,-1.060271E+01,7.679299E+01,2.302042E+01,4.854806E+01,8.893334E+05,0.000000E+00,2.177080E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,9.939822E+00,5.361970E+01,2.389150E+01,7.775165E+01
01:30:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,-1.063074E+01,7.630425E+01,2.306311E+01,4.899460E+01,8.893389E+05,0.000000E+00,2.177093E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,9.939821E+00,5.361985E+01,2.385073E+01,7.834464E+01
01:40:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,-1.065831E+01,7.582134E+01,2.310014E+01,4.944313E+01,8.893442E+05,0.000000E+00,2.177106E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,9.939821E+00,5.361999E+01,2.379149E+01,7.882684E+01
01:50:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,-1.068543E+01,7.534426E+01,2.313293E+01,4.989089E+01,8.893492E+05,0.000000E+00,2.177119E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,9.939820E+00,5.362012E+01,2.372708E+01,7.923945E+01
02:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,-1.071211E+01,7.487297E+01,2.316277E+01,5.033595E+01,8.893541E+05,0.000000E+00,2.177130E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,9.939820E+00,5.362025E+01,2.366072E+01,7.961857E+01
02:10:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,-1.073836E+01,7.440744E+01,2.319005E+01,5.077831E+01,8.893587E+05,0.000000E+00,2.177142E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,9.939819E+00,5.362037E+01,2.359260E+01,7.998455E+01
